2015-08-31 07:23:36,330 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-31 07:23:36,335 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:23:36,337 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-31 07:23:47,831 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:23:47,833 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-31 07:23:47,837 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:23:47,838 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-31 07:23:59,839 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:23:59,841 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-31 07:23:59,848 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:23:59,851 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-31 07:24:03,569 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:24:03,570 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-31 07:24:03,573 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:24:03,574 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-31 07:24:12,427 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:24:12,429 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-31 07:24:12,432 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:24:12,433 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-31 07:24:18,159 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:24:18,161 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-31 07:24:18,170 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:24:18,172 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-31 07:53:39,449 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:53:39,451 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-31 07:53:39,457 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:53:39,459 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-31 07:53:44,821 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:53:44,824 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-31 07:53:44,828 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:53:44,829 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-31 07:53:47,396 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-31 07:53:47,398 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
